2.51,2.05,2.18,1.0515,A
2.35,2.18,2.21,1.0542,D
2.28,2.31,2.15,1.54,D
2.05,2.31,2.38,1.0535,A
2.51,2.05,2.18,1.0515,H
2.03,2.1,2.61,1.047,A
2.47,2.05,2.22,1.0519,D
2.31,2.08,2.35,1.0515,A
2.35,2.08,2.31,1.0515,D
2.21,2.01,2.53,1.0508,H
2.64,1.97,2.14,1.0471,H
2.28,1.98,2.49,1.05111,H
2.64,2.02,2.09,1.0473,A
2.09,2.18,2.48,1.0536,D
2.28,1.99,2.48,1.0518,D
2.48,2.09,2.18,1.0536,D
2.55,2.1,2.1,1.0517,H
2.24,2.07,2.44,1.054,D
2.29,2,2.46,1.0523,H
2.146,2.13,2.16,1.0529,A
2.33,2,2.42,1.0528,H
2.4,2.07,2.28,1.0528,A
2.29,2,2.46,1.0524,A
2.53,2.11,2.11,1.0526,A
2.55,2.1,2.1,1.0517,H
2.36,2.1,2.29,1.0554,D
2.13,2.13,2.49,1.0526,A
2.2,1.98,2.57,1.0499,H
2.36,2.07,2.32,1.0559,D
2.35,1.97,2.43,1.0528,H
2.35,1.97,2.43,1.0548,H
2.55,2.1,2.1,1.0517,D
2.16,2.26,2.33,1.0554,D
2.54,2,2.21,1.05,H
2.45,1.98,2.32,1.05,H
2.39,2.12,2.24,1.0554,H
2.48,2.12,2.15,1.0543,H
2.01,2.31,2.43,1.0537,A
2.47,1.93,2.35,1.0483,H
2.13,2.01,2.61,1.0476,A
2.72,2.13,1.9,1.0405,H
2.63,1.98,2.14,1.0478,A
2.01,2.31,2.43,1.0537,A
2.38,2.13,2.24,1.0562,H
2.22,2.16,2.37,1.0549,A
2.32,2.15,2.28,1.0556,H
2.21,2.15,2.39,1.0546,A
2.3,2.19,2.26,1.0557,D
2.31,2.03,2.41,1.053,H
2.47,1.93,2.35,1.0483,D
2.31,1.93,2.51,1.0498,H
2.28,2.09,2.35,1.0493,A
2.39,2.09,2.24,1.0502,A
2.36,2.07,2.29,1.0493,A
2.15,2.21,2.36,1.0501,H
2.72,1.9,2.1,1.0352,H
2.4,2.07,2.25,1.0478,H
2.25,2.07,2.4,1.0478,H
2.35,2.02,2.35,1.0483,D
2.35,2.09,2.28,1.0493,A
2.99,1.8,1.93,1.0183,H
2.35,1.97,2.4,1.0447,A
2.99,1.93,1.8,1.0183,A
2.28,2.06,2.39,1.0504,D
2.43,2.09,2.21,1.0492,D
2.31,2.04,2.38,1.0496,A
2.32,2.13,2.28,1.0526,H
2.31,2.14,2.28,1.0518,H
2.22,2.15,2.36,1.0524,H
2.28,2.13,2.32,1.0526,H
2.48,2.07,2.18,1.0498,H
2.41,2.07,2.25,1.0503,A
2.38,1.97,2.38,1.0489,H
2.38,1.97,2.38,1.0489,H
2.31,1.86,2.56,1.0421,H
2.11,2.27,2.35,1.051,D
2.45,2.21,2.07,1.0504,D
2.14,2.24,2.35,1.0501,D
2.43,2.18,2.12,1.0496,H
2.63,2.05,2.05,1.0452,H
2.31,2.01,2.41,1.0483,A
2.48,1.93,2.35,1.0527,A
2.35,1.97,2.44,1.0543,D
2.29,2.15,2.32,1.0593,D
2.48,2.07,2.21,1.0556,D
2.54,2.12,2.1,1.0532,A
2.26,2,2.5,1.0539,A
2.15,2.07,2.54,1.0547,A
2.5,2.1,2.16,1.0503,H
2.48,2.07,2.21,1.0556,D
2.49,1.95,2.32,1.0525,H
2.53,2.02,2.21,1.0517,A
2.41,2.03,2.32,1.0547,H
2.5,1.94,2.32,1.0521,A
2.48,1.93,2.35,1.0527,H
2.32,1.95,2.49,1.0525,D
2.5,1.94,2.32,1.0521,H
2.59,1.99,2.18,1.0504,H
2.14,2.06,2.51,1.0548,H
2.32,2.03,2.41,1.0547,H
2.46,2.17,2.13,1.0551,H
2.25,2.1,2.41,1.0553,D
2.54,2.18,2.04,1.0545,A
2.4,2.04,2.32,1.0558,D
2.5,2,2.26,1.0589,D
2.38,2.03,2.35,1.0555,H
2.28,1.97,2.51,1.0512,A
2.63,2.08,2.05,1.0502,A
2.42,2.1,2.24,1.0581,H
2.47,2.05,2.24,1.0556,D
2.35,2.1,2.31,1.0566,H
2.22,1.93,2.61,1.0496,D
2.47,2.24,2.05,1.0556,D
2.61,1.97,2.18,1.0498,A
2.64,1.97,2.15,1.0493,D
2.53,2.09,2.12,1.0494,H
2.15,2.04,2.55,1.0504,D
2.55,2.14,2.15,1.0504,A
0.5,2.05,2.19,1.05,H
2.48,2.24,2.02,1.0511,D
2.06,2.09,2.59,1.0482,A
2.24,2.02,2.48,1.0511,A
2.18,2.02,2.54,1.0497,D
2.3,1.92,2.52,1.048,A
2.38,1.98,2.38,1.0485,H
2.44,2.02,2.28,1.0496,A
2.28,2.02,2.44,1.0496,H
2.52,1.92,2.3,1.048,A
2.48,2.06,2.2,1.0497,H
2.27,1.99,2.48,1.0481,D
2.44,1.95,2.35,1.05,A
2.49,2,2.25,1.0501,H
2.45,2,2.29,1.05,A
2.38,2.01,2.35,1.0508,A
2.52,2.05,2.17,1.0497,H
2.39,1.91,2.44,1.0481,H
2.59,2,2.06,1.0482,A
2.48,1.95,2.31,1.0472,A
2.52,1.96,2.26,1.0495,H
2.09,2.06,2.59,1.0482,A
2.15,2.1,2.49,1.0505,H
2.37,2,2.37,1.0511,A
2.31,1.95,2.48,1.0472,A
2.35,2.04,2.35,1.0494,D
2.4,1.98,2.36,1.0492,H
2.45,2.29,2,1.05,A
2.48,2.02,2.24,1.0511,D
2.54,2.18,2.02,1.0497,H
2.04,2.1,2.6,1.047,H
2.53,1.97,2.24,1.047,A
2.35,1.91,2.48,1.0479,D
2.24,1.97,2.53,1.047,D
2.27,1.95,2.52,1.0465,D
2.35,2.01,2.38,1.0508,H
2.27,2.04,2.43,1.0506,H
2.48,2.09,2.17,1.0499,H
2.49,2.1,2.15,1.0505,A
2.54,2.18,2.02,1.0476,H
2.58,2.06,2.11,1.0497,D
2.43,1.97,2.35,1.0506,D
2.59,2.12,2.04,1.0485,A
2.59,2.04,2.12,1.0485,H
2.59,2.07,2.09,1.0492,H
2.59,2.04,2.12,1.0485,H
2.59,1.98,2.18,1.0481,H
2.11,2.06,2.58,1.0497,A
2.59,2.07,2.09,1.0492,A
2.59,2.07,2.09,1.0492,H
2.59,1.95,2.21,1.0487,A
2.21,2.01,2.53,1.0508,H
2.55,2.1,2.1,1.0495,D
2.48,1.99,2.28,1.0502,A
2.58,1.93,2.24,1.0469,A
2.52,1.99,2.24,1.0498,H
2.52,1.93,2.3,1.0488,D
2.59,1.95,2.21,1.0475,D
2.59,2.12,2.04,1.0485,H
2.28,1.98,2.49,1.0511,D
2.04,2.07,2.64,1.047,D
2.07,2.09,2.59,1.0472,D
2.58,1.93,2.24,1.0469,H
2.33,1.86,2.56,1.0461,A
2.52,1.99,2.24,1.0498,D
2.49,1.98,2.28,1.0511,D
2.63,2.06,2.06,1.0472,A
2.48,2.28,1.99,1.0502,A
2.49,1.94,2.32,1.0505,A
2.09,2.02,2.64,1.0473,A
2.15,2,2.6,1.0474,H
2.43,1.93,2.39,1.0498,H
2.57,1.92,2.26,1.0477,A
2.53,2.01,2.21,1.0508,H
2.6,2,2.15,1.0494,H
2.53,2.04,2.18,1.0506,D
2.07,2.09,2.59,1.0492,A
2.18,2.04,2.53,1.0506,A
2.18,2.04,2.53,1.0506,A
2.28,1.93,2.54,1.0477,D
2.21,2.01,2.53,1.0508,A
2.55,2.13,2.07,1.0509,A
2.48,2.1,2.18,1.0558,D
2.02,2.15,2.59,1.0503,A
2.58,2.04,2.14,1.0501,H
2.58,1.97,2.21,1.0492,H
2.6,1.88,2.28,1.0473,H
2.04,2.07,2.65,1.0498,H
2.6,2.08,2.08,1.0499,D
2.23,1.9,2.63,1.0479,H
2.58,2.04,2.14,1.0501,A
2.63,1.96,2.17,1.0502,A
2.18,1.99,2.59,1.0504,H
2.57,1.92,2.27,1.0498,H
2.84,1.89,2.39,1.0511,H
2.53,1.91,2.82,1.0499,A
2.59,1.99,2.18,1.0504,A
2.17,1.95,2.64,1.0485,D
2.58,2.09,2.09,1.0505,H
2.6,2.08,2.08,1.0499,H
2.43,1.85,2.48,1.0479,A
2.64,2.17,1.95,1.0485,H
2.62,2.03,2.11,1.0497,H
2.58,2.09,2.09,1.0505,H
2.63,1.93,2.2,1.0476,H
2.59,1.93,2.24,1.0498,A
2.15,1.96,2.65,1.0474,A
2.11,2.01,2.64,1.0506,H
2.04,2.07,2.65,1.0498,A
2.63,2.2,1.93,1.0476,H
2.22,2.03,2.51,1.0549,A
2.53,2.02,2.21,1.0517,D
2.44,1.99,2.39,1.0521,A
2.45,2.1,2.21,1.0554,D
2.4,2,2.36,1.0545,D
2.54,2.04,2.18,1.0523,D
2.37,1.98,2.41,1.0529,D
2.41,1.98,2.37,1.0529,D
2.02,2.25,2.49,1.0547,A
2.59,2.02,2.15,1.0503,H
2.44,2.04,2.28,1.0543,D
2.18,2.04,2.54,1.0545,A
2.49,2.02,2.25,1.0547,D
2.44,2,2.32,1.0529,A
2.7,2.06,2.01,1.0475,H
2.01,2.06,2.71,1.0495,A
2.65,2.02,2.1,1.051,D
2.71,2.04,2.02,1.0493,A
2.64,2.04,2.09,1.05,D
2.12,2,2.65,1.0508,D
2.64,2.04,2.09,1.05,A
2.65,1.94,2.18,1.0501,D
2.04,2.02,2.71,1.0493,A
2.26,2.19,2.32,1.0598,A
2.7,2.01,2.06,1.0495,D
2.7,2.01,2.06,1.0495,H
2.08,2,2.69,1.0498,A
2.18,1.94,2.65,1.0501,A
2.33,2.11,2.33,1.0588,A
2.22,2.13,2.42,1.0592,A
2.09,2.04,2.64,1.05,H
2.64,2.18,1.95,1.0496,D
2.14,1.93,2.7,1.047,A
2.7,1.99,2.08,1.048,A
2.04,2.02,2.71,1.0493,A
2.71,1.97,2.09,1.0484,H
2.19,2.08,2.5,1.056,A
2.15,2.02,2.6,1.054,H
1.98,2.19,2.6,1.0517,A
2.64,1.99,2.14,1.0474,D
2.51,1.96,2.3,1.0543,A
2.4,1.92,2.45,1.0518,H
2.6,2.07,2.1,1.0529,H
2.6,2.1,2.07,1.0529,H
2.28,2,2.49,1.0555,A
2.45,2,2.32,1.0566,A
2.25,1.98,2.54,1.0529,A
2.32,2.19,2.26,1.0598,H
2.55,2,2.22,1.0546,H
2.6,2.05,2.12,1.0543,D
2.55,2.03,2.19,1.0533,H
2.4,1.97,2.4,1.0554,D
2.6,2.02,2.15,1.054,D
2.72,2,2.07,1.0525,D
2.45,2,2.32,1.0566,D
2.1,2.02,2.65,1.051,H
2,2.04,2.04,1.0482,D
2.22,2.1,2.46,1.0604,A
2.24,2.15,2.39,1.0607,H
2.71,1.89,2.18,1.0477,H
2.04,2.04,2.7,1.0502,H
2.17,1.91,2.7,1.0478,H
2.22,2.07,2.49,1.0593,H
2.41,2.08,2.29,1.0589,H
2.04,2.04,2.7,1.0482,D
